Longitud,Latitud,Valor
-70.87720,-53.12330,276.00000
-70.93580,-53.12500,336.20000
-70.98750,-53.13810,448.70000
-71.05610,-53.13970,380.40000
-70.98310,-53.14420,425.10000
-70.98310,-53.14440,244.50000
-71.08330,-53.18420,373.90000
-70.37000,-53.29080,160.70000
-69.26750,-53.30560,128.90000
-68.66140,-53.32170,141.80000
-71.24970,-53.40250,420.70000
-69.65060,-53.63690,193.90000
-70.96670,-53.65000,341.20000
-70.95780,-53.65140,378.40000
-69.18920,-53.75940,192.00000
-69.99890,-53.85860,243.30000
-68.88440,-53.89280,120.70000
-68.91830,-53.89670,188.90000
-70.07810,-53.99640,434.30000
-68.79970,-54.04970,221.60000
-68.95780,-54.05330,232.10000
-68.82420,-54.33780,373.30000
-68.82440,-54.50280,701.80000
-68.32360,-54.92560,158.30000
-67.63920,-54.94690,257.40000
-67.67440,-54.97690,188.60000
-67.07580,-55.08220,428.10000
-70.33580,-18.35140,1.20000
-70.17860,-20.53970,0.60000
-70.44110,-23.45030,2.90000
-70.77420,-27.26390,12.50000
-71.20110,-29.91750,75.70000
-70.68280,-33.44500,270.80000
-71.21670,-34.96640,562.50000
-72.04000,-36.58720,832.40000
-73.06220,-36.77920,904.40000
-72.63690,-38.77000,853.10000
-73.08080,-39.65060,1401.40000
-73.06080,-40.60500,950.60000
-73.09780,-41.43500,1115.00000
-72.66390,-45.39610,1480.10000
-72.10860,-45.59390,749.20000
-71.69420,-45.91280,382.40000
-71.69280,-46.58080,205.90000
-72.58640,-47.24390,430.30000
-70.84500,-53.00330,200.70000
-67.61560,-54.93170,234.50000
-58.96420,-62.19970,255.40000
-68.90720,-22.49890,3.70000
-109.42700,-27.16060,647.30000
-70.79440,-33.39190,212.60000
-70.54780,-33.45440,285.50000
-78.83500,-33.63670,772.80000
-71.61420,-33.65500,404.80000
-72.42250,-37.40280,1006.30000
-72.70080,-42.93030,2233.80000
-71.85250,-43.18890,1382.90000
-71.80530,-43.61170,1083.10000
-72.52890,-51.66720,205.10000
-70.32030,-53.18750,136.80000
-81.71700,12.58300,970.30000
-74.78100,10.89000,502.00000
-75.51300,10.44200,357.20000
-67.65000,10.25000,717.70000
-67.33300,9.91700,918.10000
-66.00000,9.23300,742.00000
-71.18300,8.60000,1041.40000
-67.42000,7.68000,1179.50000
-73.18500,7.12700,533.20000
-73.80700,7.02400,1462.50000
-58.25000,6.50000,1154.70000
-75.59100,6.22000,901.90000
-67.50000,6.16700,1582.20000
-75.42300,6.16500,1035.40000
-54.03300,5.50000,1124.10000
-55.18800,5.45300,1165.50000
-52.36700,4.83300,1927.70000
-75.74000,4.81300,905.70000
-74.15000,4.70100,422.60000
-70.91700,4.55000,1908.20000
-73.61400,4.16800,2384.60000
-51.80000,3.88300,1355.50000
-76.38300,3.55000,385.40000
-61.13300,1.83300,1369.80000
-77.26700,1.41700,443.40000
-47.38300,-0.61700,1312.80000
-79.46700,-1.10000,620.00000
-48.47600,-1.37900,1182.50000
-54.71700,-2.43300,1014.80000
-80.38100,-3.55300,77.20000
-73.30000,-3.78300,1387.40000
-32.41700,-3.85000,801.10000
-69.94300,-4.19300,1134.10000
-81.25400,-4.57700,93.80000
-42.81700,-5.05000,385.30000
-80.61600,-5.20600,108.80000
-76.36700,-6.50000,383.80000
-79.82800,-6.78700,11.70000
-34.86700,-7.10000,1353.20000
-35.88300,-7.21700,522.10000
-38.13300,-7.85000,669.00000
-79.10900,-8.08100,3.60000
-74.57400,-8.37800,463.40000
-36.51700,-8.88300,557.10000
-38.21700,-9.40000,287.20000
-35.78300,-9.51700,1152.90000
-56.10000,-9.86700,477.80000
-65.34900,-10.81700,371.90000
-77.11400,-12.02200,16.50000
-69.22900,-12.61400,530.20000
-43.41700,-13.26700,85.30000
-71.93900,-13.53600,87.40000
-76.22000,-13.74500,15.90000
-64.91800,-14.81900,452.30000
-42.75000,-15.08300,73.30000
-70.15800,-15.46700,61.60000
-57.68300,-16.05000,238.80000
-71.56700,-16.33200,30.10000
-68.19200,-16.51300,113.70000
-43.86700,-16.71700,68.40000
-46.86700,-17.21700,173.60000
-66.18000,-17.42000,60.50000
-63.13500,-17.64500,380.30000
-39.25000,-17.73300,955.40000
-70.27600,-18.05300,11.00000
-46.51700,-18.60000,171.80000
-57.50000,-19.08300,286.60000
-46.93300,-19.56700,223.50000
-45.98300,-20.00000,190.60000
-58.16700,-20.23000,289.10000
-49.98300,-20.41700,271.60000
-48.96700,-21.13300,189.70000
-41.88300,-21.20000,207.60000
-43.35000,-21.76700,208.20000
-60.60000,-22.01700,177.80000
-41.05000,-22.05000,271.40000
-51.38300,-22.11700,294.70000
-49.11700,-22.31700,230.80000
-47.13300,-23.00000,351.20000
-51.13300,-23.33300,569.70000
-57.41700,-23.43000,464.50000
-46.65000,-23.61700,309.90000
-65.09800,-24.39300,136.00000
-65.48300,-24.85000,72.90000
-57.51900,-25.24000,462.50000
-48.51700,-25.51700,536.70000
-54.60000,-25.53300,816.90000
-54.48700,-25.59600,596.00000
-54.46700,-25.73300,802.60000
-58.22800,-26.21300,453.30000
-55.90000,-27.30000,782.00000
-55.97100,-27.38600,592.40000
-59.05000,-27.45000,412.40000
-59.70000,-29.18300,362.00000
-57.15200,-29.68900,514.90000
-57.03300,-29.78300,526.30000
-57.58300,-30.26700,582.00000
-57.65000,-30.26700,550.50000
-56.52000,-30.40000,635.80000
-55.47600,-30.97500,713.70000
